lat,lng,country
42.1,12.1833,Italy
40.8,17.1333,Italy
40.6556,17.7036,Italy
45.5333,9.5167,Italy
45.1039,7.7536,Italy
37.8,14.8333,Italy
45.5197,9.8833,Italy
44.4883,11.2181,Italy
42.0333,11.85,Italy
43.7833,11.1,Italy
45.7,8.9167,Italy
41.7167,12.6667,Italy
45.5719,12.1089,Italy
37.4994,13.265,Italy
45.014,8.6458,Italy
45.55,9.1833,Italy
43.9278,11.04,Italy
45.402,10.2803,Italy
42.9167,12.3333,Italy
45.2333,7.6,Italy
38.3667,15.85,Italy
43.4642,13.5461,Italy
40.9333,16.9,Italy
40.8,14.5,Italy
37.55,15.15,Italy
45.5,9.4167,Italy
44.5374,11.5344,Italy
43.9555,11.3856,Italy
44.5778,11.3617,Italy
44.2733,9.3932,Italy
44.9833,7.4667,Italy
45.4667,8.9167,Italy
41.1056,14.2139,Italy
39.7839,16.3189,Italy
46.1161,8.2911,Italy
38.2667,16.3,Italy
40.8667,14.55,Italy
45.9833,12.7,Italy
45.3667,9.3167,Italy
37.6059,15.126,Italy
37.5,14.3833,Italy
40.9961,17.2203,Italy
40.8667,14.35,Italy
46.4276,11.3405,Italy
45.6833,9.2333,Italy
41.05,16.8833,Italy
40.9333,14.2667,Italy
41.8333,12.8333,Italy
45.6833,8.7,Italy
45.6333,9.3167,Italy
43.8567,11.1636,Italy
45.7606,9.7969,Italy
45.7333,12.2333,Italy
40.9964,15.6558,Italy
45.0228,7.5878,Italy
40.7333,13.85,Italy
38.9667,17.1,Italy
43.9,11,Italy
45.5089,12.0363,Italy
44.0881,12.3933,Italy
37.2833,15.0167,Italy
45.9167,10.8833,Italy
45.4333,10.8333,Italy
40.2,16.6667,Italy
41.3308,15.7114,Italy
40.3833,16.55,Italy
44.5256,10.8664,Italy
45.2333,11.75,Italy
39.3026,9.2031,Italy
39.9333,18.3667,Italy
44.3833,11.3333,Italy
45.5543,12.2994,Italy
44.3327,10.8331,Italy
45.4667,8.9833,Italy
43.6108,10.97,Italy
45.4833,10.8667,Italy
41.7667,12.7167,Italy
43.9584,12.7386,Italy
45.55,8.9833,Italy
43.6569,11.1858,Italy
40.6666,15.1064,Italy
43.2295,13.6861,Italy
40.7072,17.6594,Italy
44.5392,10.8117,Italy
45.5333,10.9333,Italy
41.6833,15.2833,Italy
40.6333,16.9333,Italy
39.2642,16.7003,Italy
40.75,14.78,Italy
45.5139,9.2844,Italy
41,16.8667,Italy
44.6453,7.4906,Italy
45.6,12.2333,Italy
45.6167,9.15,Italy
37.3,14.85,Italy
43.5644,11.5328,Italy
45.1,7.5167,Italy
45.8,8.8833,Italy
45.6833,12.0167,Italy
44.4169,11.9761,Italy
44.4833,11.6333,Italy
45.0333,7.35,Italy
37.2944,13.5272,Italy
43.6,10.4833,Italy
45.6,10.15,Italy
37.3333,14.75,Italy
44.4667,8.1167,Italy
42.7833,12.4167,Italy
46.7994,11.9343,Italy
43.6833,11.5333,Italy
43.3056,12.3366,Italy
45.1894,11.2166,Italy
45.3833,11.3833,Italy
45.4333,11.7833,Italy
40.6278,14.3736,Italy
45.1836,7.7153,Italy
40.9224,14.4239,Italy
45.2333,11.6667,Italy
36.7853,14.9069,Italy
44.9,11.8333,Italy
42.2492,11.7561,Italy
42.2961,12.41,Italy
45.4978,9.6431,Italy
40.9167,14.5167,Italy
45.45,11.9333,Italy
42.9891,13.8681,Italy
45.9614,12.9774,Italy
40.9556,14.2708,Italy
40.5833,17.05,Italy
45.25,11.1333,Italy
40.4003,17.5667,Italy
41.7833,12.9167,Italy
43.1848,13.7955,Italy
43.5478,11.0411,Italy
45.6167,8.7833,Italy
45.5501,12.0709,Italy
42.8851,13.916,Italy
44.6777,11.043,Italy
45.16,9.705,Italy
45.6833,9.1167,Italy
43.5756,12.1439,Italy
40.6333,17.0333,Italy
43.3663,13.6203,Italy
45.8833,12.7167,Italy
39.3667,16.0333,Italy
42.55,14.1167,Italy
42.1667,12.6,Italy
45.4833,8.7,Italy
41.05,16.9167,Italy
45.5897,9.3359,Italy
44.6167,11.6667,Italy
44.8319,11.2957,Italy
45.7,9.2833,Italy
43.8167,10.6747,Italy
41.8167,12.8,Italy
40.15,18.0667,Italy
45.5783,9.3522,Italy
43.6167,10.6333,Italy
38.35,16.0167,Italy
45.55,9.3333,Italy
45.4167,11.1,Italy
43.1271,12.0452,Italy
45.2,7.7833,Italy
44.9858,10.4147,Italy
45.35,10.7333,Italy
44.5097,11.4706,Italy
45.25,8.75,Italy
43.2482,13.5075,Italy
44.5139,10.7339,Italy
45.1042,7.55,Italy
44.7381,10.9245,Italy
45.8781,8.4069,Italy
45.1778,9.65,Italy
44.9333,9.9,Italy
41.8333,15.5667,Italy
45.6,8.95,Italy
38.0192,12.8858,Italy
40.6333,16.8,Italy
40.4,18.1333,Italy
40.45,17.3667,Italy
45.9153,12.8556,Italy
45.3728,11.1303,Italy
44.5519,10.9358,Italy
42.5167,14.05,Italy
44.9214,10.6542,Italy
45.4249,12.0758,Italy
43.2333,12.7833,Italy
42.6167,14.0667,Italy
41.4083,13.0443,Italy
44.4,11.25,Italy
45.7,9.4333,Italy
45.6582,11.4047,Italy
44.65,10.7833,Italy
40.7983,8.5772,Italy
43.15,12.2,Italy
45.4,10.85,Italy
39.3667,17.1167,Italy
38.485,15.9797,Italy
40.8833,16.7667,Italy
42.4394,11.2125,Italy
43.5997,13.3257,Italy
45.5553,10.0733,Italy
45.5,11.9167,Italy
43.8103,11.0149,Italy
43.7833,10.9167,Italy
41.35,16.1,Italy
44.7527,10.2157,Italy
45.5667,8.1667,Italy
43.7202,10.7727,Italy
37.7333,15.2,Italy
43.6854,11.2544,Italy
37.6167,15.0667,Italy
40.9575,14.2492,Italy
45.6246,12.3766,Italy
43.7252,12.6372,Italy
40.4,18.0667,Italy
45.7167,11.7667,Italy
46,8.75,Italy
40.5333,17.7167,Italy
41.4667,13.1833,Italy
45.6167,8.9,Italy
45.3703,10.2167,Italy
37.7578,15.1958,Italy
38.0395,14.0221,Italy
45.0167,12.2167,Italy
40.6167,14.35,Italy
43.7517,13.0956,Italy
43.7333,11.0167,Italy
